rep_id,bench_number,traffic,primary_street,direction,secondary_street,cor,city,zip,latitude,longitude
1,LA-4656,WB,Santa Monica Blvd,NS,Gower St,NEC,Hollywood (CA),90038,34.0909,-118.322
1,LA-4659,EB,Santa Monica Blvd,NS,Hobart Blvd,SWC,East Hollywood,90029,34.0907,-118.3049
1,LA-2011,EB,Santa Monica Blvd,NS,Overland Ave,SWC,West Los Angeles,90025,34.0512,-118.433
1,LA-3763,EB,Santa Monica Blvd,NS,Wellesley Ave,SWC,Sawtelle,90025,34.0395,-118.4655
1,LA-2020,EB,Santa Monica Blvd,FS,Westholme Ave,SEC,West Los Angeles,90025,34.0539,-118.4291
1,LA-5341,WB,Santa Monica Blvd,NS,Wilton Pl,NEC,Hollywood (CA),90038,34.0909,-118.3134
1,LA-7224,NB,Sawtelle Blvd,FS,Olympic Blvd,NEC,Sawtelle,90064,34.0385,-118.4414
1,LA-5360,SB,Sepulveda Blvd,FS,Century Blvd,SWC,Westchester/LAX,90045,33.9455,-118.3964
1,LA-3790,NB,Sepulveda Blvd,FS,Charnock Rd,NEC,Palms,90034,34.0171,-118.4203
1,LA-7172,NB,Sepulveda Blvd,NS,Costco Dr,SEC,Van Nuys,91411,34.1812,-118.466
1,LA-2038,NB,Sepulveda Blvd,NS,Ohio Ave,SEC,Sawtelle,90025,34.0502,-118.4464
1,LA-7553,NB,Sepulveda Blvd,NS,Queensland Ave,SEC,Palms,90034,34.0238,-118.4256
1,LA-7029,WB,Sherman Way,NS,Encino Ave,NEC,Van Nuys,91406,34.2013,-118.5131
1,LA-0839,WB,Sherman Way,NS,Etiwanda Ave,NEC,Reseda,91335,34.201,-118.531
1,LA-0843,WB,Sherman Way,FS,Farralone Ave,NWC,Canoga Park,91303,34.2011,-118.6105
1,LA-2331,WB,Sherman Way,NS,Gloria Ave,NEC,Van Nuys,91406,34.2013,-118.479
1,LA-0862,EB,Sherman Way,FS,Oso Ave,SEC,Winnetka,91306,34.201,-118.574
1,LA-7217,WB,Sherman Way,FS,Shirley Ave,NWC,Reseda,91335,34.2013,-118.5582
1,LA-0889,EB,Sherman Way,FS,Wilbur Ave,SEC,Reseda,91335,34.201,-118.544
1,LA-4672,NB,Silver Lake Blvd,NS,Marathon St,SEC,Silverlake,90026,34.0805,-118.2754
1,LA-4686,WB,Sunset Blvd,NS,Cherokee Ave,NEC,Hollywood (CA),90028,34.0981,-118.3351
1,LA-1460,WB,Sunset Blvd,NS,Fuller Ave,NEC,Hollywood (CA),90046,34.0981,-118.3487
1,LA-4695,EB,Sunset Blvd,NS,Gordon St,SWC,Hollywood (CA),90028,34.0979,-118.3203
1,LA-4705,WB,Sunset Blvd,FS,Kingsley Dr,NWC,Los Feliz/Griffith Park,90027,34.0982,-118.303
1,LA-4708,EB,Sunset Blvd,NS,Lucille Ave,SWC,Silverlake,90026,34.0909,-118.279
1,LA-4722,WB,Sunset Blvd,FS,Vine St,NWC,Hollywood (CA),90028,34.0978,-118.3271
1,LA-0907,NB,Tampa Ave,NS,Topham St,SEC,Tarzana,91356,34.1819,-118.553
1,LA-0908,NB,Tampa Ave,NS,Vanowen St,SEC,Reseda,91335,34.1935,-118.553
1,LA-7058,EB,Temple St,FS,Boylston St,SEC,Echo Park,90026,34.0644,-118.2525
1,LA-7057,EB,Temple St,NS,Douglas St,SWC,Echo Park,90026,34.0672,-118.2569
1,LA-7564,WB,Temple St,NS,Rampart Blvd,NEC,MacArthur Park/Westlake,90026,34.0725,-118.2746
1,LA-5322,SB,Topanga Canyon Blvd,FS,Kittridge St,SWC,Canoga Park,91303,34.1909,-118.605
1,LA-7649,NB,Topanga Canyon Blvd,FS,Oxnard St,NEC,Woodland Hills,91367,34.1795,-118.6054
1,LA-5589,NB,Topanga Canyon Blvd,NS,Schoolcraft St,SEC,Canoga Park,91303,34.1964,-118.605
1,LA-6117,SB,Union Ave,FS,W Olympic Blvd,SWC,Pico-Union,90015,34.0489,-118.2745
1,LA-0938,NB,Valley Circle Blvd,FS,El Canon Ave,NEC,Woodland Hills,91367,34.1771,-118.652
1,LA-0957,SB,Valley Circle Blvd,FS,Valley Circle Terrace,SWC,West Hills,91307,34.1861,-118.655
1,LA-0507,NB,Van Nuys Blvd,FS,Burbank Blvd,NEC,Van Nuys,91401,34.1725,-118.448
1,LA-0971,EB,Vanowen St,NS,Lena Ave,SWC,West Hills,91307,34.1937,-118.631
1,LA-4447,EB,Vanowen St,NS,Louise Ave,SWC,Van Nuys,91406,34.1938,-118.51
1,LA-7610,WB,Vanowen St,NS,Orion Ave,NEC,Van Nuys,91406,34.194,-118.4704
1,LA-0975,EB,Vanowen St,FS,Peterson Ave,SEC,West Hills,91307,34.1935,-118.646
1,LA-5695,EB,Vanowen St,FS,Reseda Blvd,SEC,Reseda,91335,34.1937,-118.5357
1,LA-7605,WB,Vanowen St,FS,Tyrone Ave,NWC,Van Nuys,91405,34.194,-118.4448
1,LA-0995,EB,Vanowen St,NS,Zelzah Ave,SWC,Reseda,91335,34.1938,-118.523
